name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,movement
"MACHETE SATELLITE (feat. Salmo, Taxi B & Greg Willen)",BLOODY VINYL,"['italian hip hop', 'trap italiana']",0.507,0.898,3,-4.493,0,0.477,0.079,0.0,0.0835,0.527,142.828,146987,4,sport,"[0.8, 0.9, 1]"
Love Yourz,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.677,0.638,8,-8.631,1,0.333,0.589,0.0,0.193,0.435,82.81,211497,4,chill,"[0.2, 0.3, 0.4]"
Rich Spirit,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285,4,chill,"[0.2, 0.3, 0.4]"
Vultures,¥$,[],0.712,0.554,1,-6.982,0,0.211,0.157,0.0,0.12,0.535,146.086,237535,4,chill,"[0.2, 0.3, 0.4]"
Doomsday,MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop']",0.856,0.84,6,-7.736,0,0.334,0.0973,0.0,0.0773,0.792,95.416,298053,4,chill,"[0.2, 0.3, 0.4]"
Everything I Am,Kanye West,"['chicago rap', 'hip hop', 'rap']",0.631,0.623,8,-6.969,1,0.265,0.463,1.7e-06,0.151,0.765,80.23,227893,4,chill,"[0.2, 0.3, 0.4]"
Righteous Minds,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']",0.809,0.638,8,-5.646,0,0.28,0.262,0.0,0.453,0.608,94.893,224043,4,chill,"[0.2, 0.3, 0.4]"
Bonita Applebum,A Tribe Called Quest,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",0.874,0.581,11,-7.942,1,0.168,0.0697,0.0239,0.416,0.663,91.916,217240,4,chill,"[0.2, 0.3, 0.4]"
Write This Down,SoulChef,['ambeat'],0.824,0.818,10,-4.396,0,0.18,0.173,0.0136,0.21,0.844,92.978,189427,4,chill,"[0.2, 0.3, 0.4]"
Potato Salad,"Tyler, The Creator","['hip hop', 'rap']",0.538,0.612,2,-6.02,1,0.424,0.308,0.0,0.213,0.684,168.197,182493,4,chill,"[0.2, 0.3, 0.4]"
Made my day,tubakiii,['j-rap'],0.759,0.412,7,-6.23,1,0.402,0.654,0.0,0.128,0.938,80.028,255000,4,chill,"[0.2, 0.3, 0.4]"
Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",0.706,0.688,1,-6.357,1,0.269,0.151,0.0,0.466,0.313,125.966,330783,4,chill,"[0.2, 0.3, 0.4]"
4 Your Eyez Only,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.701,0.485,11,-10.305,0,0.364,0.367,6.31e-05,0.0852,0.496,78.863,530253,4,chill,"[0.2, 0.3, 0.4]"
A.D.H.D,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.609,0.799,9,-6.883,1,0.24,0.33,0.0,0.108,0.582,157.74,215509,4,chill,"[0.2, 0.3, 0.4]"
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818,260987,4,chill,"[0.2, 0.3, 0.4]"
"Something to Rap About (feat. Tyler, The Creator)",Freddie Gibbs,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'underground hip hop']",0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,282560,4,chill,"[0.2, 0.3, 0.4]"
